video,frame,time_s,motion_time_s,position_raw,position_smooth,position_monotonic,height_m,visible_moving_markers
closing,30,0.5,-1.75,1.0031066365982513,1.0031537153663925,1.0,2.1,2
closing,31,0.5166666666666667,-1.7333333333333334,1.0031537153663925,1.0031066365982513,1.0,2.1,2
closing,32,0.5333333333333333,-1.7166666666666668,1.0032620413753022,1.0030569918642107,1.0,2.1,2
closing,33,0.55,-1.7,1.0030569918642107,1.002996674487112,1.0,2.1,2
closing,34,0.5666666666666667,-1.6833333333333333,1.0026423818509187,1.002715690357534,1.0,2.1,2
closing,35,0.5833333333333334,-1.6666666666666665,1.002715690357534,1.0027009392539088,1.0,2.1,2
closing,36,0.6000000000000001,-1.65,1.0027009392539088,1.0026423818509187,1.0,2.1,2
closing,37,0.6166666666666667,-1.6333333333333333,1.0025250320358698,1.0025250320358698,1.0,2.1,2
closing,38,0.6333333333333334,-1.6166666666666667,1.00234999327166,1.00238459884185,1.0,2.1,2
closing,39,0.65,-1.6,1.00238459884185,1.00234999327166,1.0,2.1,2
closing,40,0.6666666666666667,-1.5833333333333333,1.0020276986688412,1.0022846993746382,1.0,2.1,2
closing,41,0.6833333333333333,-1.5666666666666667,1.0022846993746382,1.0021969090593532,1.0,2.1,2
closing,42,0.7000000000000001,-1.5499999999999998,1.002163545831658,1.002163545831658,1.0,2.1,2
closing,43,0.7166666666666667,-1.5333333333333332,1.0018145127209932,1.0020276986688412,1.0,2.1,2
closing,44,0.7333333333333334,-1.5166666666666666,1.0019844159826214,1.0019844159826214,1.0,2.1,2
closing,45,0.75,-1.5,1.0021969090593532,1.0018145127209932,1.0,2.1,2
closing,46,0.7666666666666667,-1.4833333333333334,1.0017313669541013,1.0017313669541013,1.0,2.1,2
closing,47,0.7833333333333334,-1.4666666666666666,1.0013878757415875,1.0014113515223413,1.0,2.1,2
closing,48,0.8,-1.45,1.0014113515223413,1.0013878757415875,1.0,2.1,2
closing,49,0.8166666666666668,-1.4333333333333331,1.0013337521242565,1.0013337521242565,1.0,2.1,2
closing,50,0.8333333333333334,-1.4166666666666665,1.0009667715281805,1.001284403056947,1.0,2.1,2
closing,51,0.8500000000000001,-1.4,1.001284403056947,1.0012308068887241,1.0,2.1,2
closing,52,0.8666666666666667,-1.3833333333333333,1.0010899793632881,1.0011829115453508,1.0,2.1,2
closing,53,0.8833333333333334,-1.3666666666666667,1.0011829115453508,1.0010899793632881,1.0,2.1,2
closing,54,0.9,-1.35,1.0012308068887241,1.0009667715281805,1.0,2.1,2
closing,55,0.9166666666666667,-1.3333333333333333,1.000657192778466,1.0008661166678445,1.0,2.1,2
closing,56,0.9333333333333333,-1.3166666666666667,1.0003001801109885,1.000657192778466,1.0,2.1,2
closing,57,0.9500000000000001,-1.2999999999999998,1.0008661166678445,1.0005679677800767,1.0,2.1,2
closing,58,0.9666666666666667,-1.2833333333333332,1.0001983685785762,1.0005558683561175,1.0,2.1,2
closing,59,0.9833333333333334,-1.2666666666666666,0.9998656262566048,1.0003001801109885,1.0,2.1,2
closing,60,1.0,-1.25,1.0005679677800767,1.0001983685785762,1.0,2.1,2
closing,61,1.0166666666666668,-1.2333333333333332,0.999894736252301,0.999894736252301,0.999894736252301,2.099778946129832,2
closing,62,1.0333333333333334,-1.2166666666666666,0.9995863859093197,0.9998656262566048,0.9998656262566048,2.0997178151388702,2
closing,63,1.05,-1.2,1.0005558683561175,0.9997214339755873,0.9997214339755873,2.0994150113487335,2
